suburb|price|unit_price|unit_percentage|income|remuneration|multiplier|agreement_term|agreement_remain|agreement_age|total_unit|wage_per_unit|owner_occupy|letting|income_per_letting|look_ups|outside_agents|manager_bed|manager_bathroom|manager_car|office|office_hour|agency|agent|complex_feature|url|title|description|unit_feature|pets|last_update|property_id|crawl_date
Norman Park|993000|580000|0.58|94000|49700|4.4|25|23|17|40|1242.5|13|23|1926.09|0|3|3|2|2|1| As Required||Adrian Wylde|" Fantastic opportunity to purchase the management rights and managerâs residence to a high-performing business that has seen substantial growth and improvement under the current management, yet still leaves significant upside potential for a new operator, Total of 40 apartments - 23 managed in the onsite letting pool, Well-maintained/spacious, light and airy three bedroom managerâs residence with private courtyard, Lengthy tenure to agreement with 23 years remaining on tenure,No set office hours,Excellent location in the heart of Norman Park, Standalone office and workshop on occupation, Several identifiable areas for future growth and improvement, Stylish and modern upgrade work recently completed in common areas, Low maintenance gardens, Easily run pool area, BC salary of \$49,700 with annual increase as per CPI for next 23 years
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/NormanPark-QLD-3878737|"Great Permanent Complex!!
              "||" Spacious 3 Bedroom Unit, with sizeable courtyard and deck! Wooden Floor in Dining\Entertainment Area.
                       "|Yes| 3 weeks ago.|3878737|2018-08-22
Gailes|1550000|410000|0.26|228000|84000|5|25|22|3|68|1235.29|1|67|2149.25|0|0|3|2|4|1| No set office hours| Management Rights Sales|Mark Neale|" Gym, Storage, CCTV, NBN
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Gailes-QLD-3879957|"HIGH INCOME - GREAT OPPORTUNITY : MANAGEMENT RIGHTS SALES - ID 8876
              "|Permanent Management Rights For Sale|" Stand alone townhouse, Air conditioning, Large outdoor area and back yard
                       "|Yes| 3 weeks ago.|3879957|2018-08-22
Aspley|1068000|440000|0.41|113686|103447|5.5|25|24|0|84|1231.51|64|4|2559.75|0|16|3|2|1|0| No office hours required| Joy Realty|Rodney Li|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Aspley-QLD-3880106|"Mostly caretaking, with potential of building up your lettings
              "|Unbeatable management right business with 84 units complex but only 4 letting pools to manage. No worry at all for losing lettings (but full potential to increase lettings from outside agents). You only need to take care of limited garden and a tiny swimming pool.|" 
                       "|No| 1 week ago.|3880106|2018-08-22
Hillcrest|1030000|420000|0.41|133000|45600|4.6|24|24|3|38|1200|2|36|2427.78|0|0|3|2|2|1| | Management Rights Sales|Tony Johnson|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Hillcrest-QLD-3881699|"QUALITY RESIDENCE FOR PERMANENT COMPLEX
              "|Phillip Usher Special|" 3 bedroom townhouse, 2 bathrooms, Private courtyard, Double lock up garage, Main bedroom with ensuite
                       "|No| 3 weeks ago.|3881699|2018-08-22
CAPALABA|405000|0|0|96420|75|4.2|10|9|0|64|1.17|32|11|8758.64|0|0|2|0|0|1| | Raas Group|Peter Sagner|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/CAPALABA-QLD-3877535|"Capacity to grow in Capalaba!
              "|Management Rights with a twist. Caretaking duties and letting pool without the cost of buying a managers unit. Manager rents unit from Body Corporate. |" 
                       "|No| 3 months ago.|3877535|2018-08-22
RIVERHILLS|510000|390000|0.76|40000|40000|3|25|21|0|26|1538.46|17|8|0|0|0|4|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/RIVERHILLS-QLD-3882875|"simple quiet complex
              "|Quiet hilltop location, good aspect. Minimum duties. Large managers unit. |" 
                       "|Yes| 3 weeks ago.|3882875|2018-08-22
ALGESTER|1615000|540000|0.33|215000|80102|5|25|20|0|68|1177.97|22|45|2997.73|0|0|4|0|0|1| | Raas Group|Jim Prentice|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/ALGESTER-QLD-3880280|"MANAGEMENT RIGHTS.. HOME&BUSINESS OPPORTUNITY IN GREAT LOCATION
              "|THE BUSINESS consists of a 13 year old complex with just over 65% of the units in the Manager's rental pool. Enquiries for rentals is steady with very little down-time and the mix of three and four bedroom units are popular with tenants.  The grounds have just been freshly mulched.  Exterior painting of the buildings is all but complete.  A fresh clean presentation of the complex and nothing major to do for the forseeable future. |" 
                       "|No| 1 month ago.|3880280|2018-08-22
Teneriffe|1550000|900000|0.58|135384|106791|4.8|10|9|16|66|1618.05|0|10|2859.3|0|0|2|2|1|1| NO SET OFFICE HOURS| RCA Business Brokers|ROD ASKEW AND ERIC BRIZUELA|" SWIMMING POOL, BBQ AREA, SECURE PARKING
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Teneriffe-QLD-3881718|"ABSOLUTE RIVER FRONT WITH NO SET OFFICE HOURS.
              "|$135,384 Nett Income|" Very modern 2 bedroom main with ensuite, 2 bathroom, air conditioned large open living area, spacious apartment with Brisbane River views.
                       "|No| 1 month ago.|3881718|2018-08-22
CLEVELAND|751555|0|0|156574|115759|4.8|25|15|0|73|1585.74|47|18|2267.5|0|0|0|0|0|1| | Raas Group|Robert Collins|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/CLEVELAND-QLD-3883458|"Three Contagious Complexes
              "|All available together Reasonably priced|" 
                       "|Yes| 2 weeks ago.|3883458|2018-08-22
Carseldine|700000|460000|0.66|59348|47055|4|25|24|15|30|1568.5|19|10|1229.3|0|1|4|2|3|1| NIL| Raine & Horne Onsite Rights|Joanne Piercy|" Mainly Caretaking income with a small letting pool. The current manager is selling  due to family commitments.Located close to bus, trains, shops and quality schools and only 14 kilometres to the City. Very well maintained complex enabling a smooth transition for the incoming purchaser.Easy care grounds with everything centrally located for ease of operation.Perfect for mangers looking to downsize or for  new comers to the industry looking for a complex that will give them the experience required to buy a larger business later. There is no need to sell up and move as this complex could easily be run in conjunction  with an add on business.
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Carseldine-QLD-3880117|"No Requirement to live on site
              "||" On offer with this business is an extremely appealing 4 bedroom Residence with a large private yard and covered alfresco area that will easily accommodate all of your extended family and friends. One of those rare management rights businesses that has a home that you will not want to leave. However for those who not wanting to live on site , the Residence is set up perfectly with a separate entrance to the office making it a very appealing rental proposition.
                       "|Yes| 2 months ago.|3880117|2018-08-22
Deception Bay|1898000|378000|0.2|289588|107429|5.2|25|21|0||0|2|80|0|0|0|3|2|2|1| None| Next International Realty Pty Ltd|Jack Liu|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/DeceptionBay-QLD-3881850|"Big Nett Permanent, NO NEED TO LIVE ON SITE!
              "|Conveniently located in a strong rental area just a few minutes drive to the Deception Bay Shopping Centre and just 8kms to the mighty North Lakes Shopping Centre, 6kM to American retail giant Costcos and Bunnings new stores. These new stores require a large number of retail staff making Deception Bay a stronger than ever rental location|" 
                       "|No| 1 month ago.|3881850|2018-08-22
Springwood|1070000|325000|0.3|140010|70599|4.8|0|19|0||0|0|45|0|0|0|2|0|0|1| None| Next International Realty Pty Ltd|Patrick Leou - David Janett|" 
                       "|https://www.TheOnsiteManager.com.au/permanent-management-rights/Springwood-QLD-3882644|"Can live Offsite!!
              "|Live Onsite or Offsite, the choice is yours!|" 
                       "|No| 1 month ago.|3882644|2018-08-22
